cid,type,time,lon,lat,spd,turn,dis,roadid
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:23:50,118.76256894584729,30.94340203652462,3.127881054091683,Unknown,297.14870013870984,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:24:00,118.76252655644232,30.943123013046684,3.127881054091683,Unknown,265.869889597793,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:24:10,118.76248416739554,30.94284398952154,3.127881054091683,Unknown,234.59107905687623,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:24:20,118.76244177870673,30.942564965949177,3.127881054091683,Unknown,203.3122685159594,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:24:30,118.76239939037605,30.9422859423296,3.127881054091683,Unknown,172.03345797504258,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:24:40,118.76235700240338,30.942006918662816,3.127881054091683,Unknown,140.75464743412573,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:24:50,118.76231461478886,30.94172789494881,3.127881054091683,Unknown,109.47583689320889,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:25:00,118.76226876843316,30.941449473830712,3.127881054091683,Unknown,78.19702635229207,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:25:10,118.76218821730015,30.941177080781344,3.127881054091683,Unknown,46.91821581137524,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 10:25:20,118.7620626798798,30.94091817139982,3.127881054091683,Unknown,15.639405270458415,4724_4664
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 18:01:00,118.74353590706852,30.9557438925265,8.82257916141485,Unknown,379.3709039408386,5021_5082
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 18:01:10,-127.22652132473829,30.956536653684985,8.82257916141485,Unknown,291.1451123266901,5021_5082
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 18:01:20,118.74345600135119,30.957329642655843,8.82257916141485,Unknown,202.91932071254158,5021_5082
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 18:01:30,118.74346222390491,30.95812337882383,8.82257916141485,Unknown,114.69352909839306,5021_5082
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 18:01:40,118.74346844775651,30.958917114915355,8.82257916141485,Unknown,26.467737484244555,5021_5082
b62b0f461be5ee9702131b83ac8a1abb,2,2020-09-01 07:46:40,4.782819526774959,30.932717714898953,9.199361355162441,L,272.0676238069768,4938_4879
