cid,nlane,turn,dnroad,geom,len
5020_8375,0,U#S#R,8375_5020#8375_4986#8375_8372,LINESTRING(118.824786205 30.954044792;118.822897743 30.953723128;118.82119972 30.9534514320001),348.95278025491746
5113_8376,0,U#R#S#L,8376_5113#8376_8455#8376_8456#8376_8459,LINESTRING(118.822727837 30.967640014;118.822943819 30.9659784560001;118.823038772 30.9653233080001),258.5669673371691
8455_8376,0,L#U#R#S,8376_5113#8376_8455#8376_8456#8376_8459,LINESTRING(118.815493717 30.9644540910001;118.823038772 30.9653233080001),727.2619831006746
8453_8377,0,U#S#R,8377_8453#8377_5140#8377_8455,LINESTRING(118.810735859 30.961419956;118.810594559 30.9638896910001),274.1492058318061
8448_8378,2,U#L#S,8378_8448#8378_8459#8378_5125,LINESTRING(118.833959752 30.960881532;118.833099507 30.9664116750001),618.6046364782954
8459_8378,2,R#U#L,8378_8448#8378_8459#8378_5125,LINESTRING(118.827913891 30.9658506970001;118.833099507 30.9664116750001),499.312071760378
4947_8379,0,U#R#S,8379_4947#8379_8371#8379_5066,LINESTRING(118.807508614 30.9514710990001;118.807414935 30.9518037280001;118.806991272 30.9530347620001;118.806963175 30.953116397),189.74956820224713
8371_8379,0,L#U#R,8379_4947#8379_8371#8379_5066,LINESTRING(118.813356519 30.955319972;118.809581598 30.9538872860001;118.808786858 30.9536255460001;118.806963175 30.953116397),658.580233393129
8452_8441,3,U#S#R,8441_8452#8441_5448#8441_8442,LINESTRING(118.810306792 30.968919509;118.810183116 30.9710812060001),239.95613886356142
8441_8442,3,U#R#S,8442_8441#8442_8451#8442_8443,LINESTRING(118.810183116 30.9710812060001;118.814613495 30.9716445770001),427.8304233153405
8451_8442,2,L#U#R,8442_8441#8442_8451#8442_8443,LINESTRING(118.814934295 30.969462138;118.81461597 30.9716251140001),241.7274498195836
5189_8443,2,U#L#R,8443_5189#8443_8442#8443_8444,LINESTRING(118.822297084 30.9703255110001;118.821925027 30.972574319),251.84384860841095
8442_8443,3,R#U#S,8443_5189#8443_8442#8443_8444,LINESTRING(118.814613495 30.9716445770001;118.821925027 30.972574319),706.0506752970934
8443_8444,3,U#R#S,8444_8443#8444_8447#8444_8445,LINESTRING(118.821925027 30.972574319;118.826954814 30.9732139120001),485.7061553038922
8447_8444,2,L#U#R,8444_8443#8444_8447#8444_8445,LINESTRING(118.827256311 30.9708991970001;118.826954814 30.9732139120001),258.24136129343606
8444_8445,1,U#R,8445_8444#8445_8446,LINESTRING(118.826954814 30.9732139120001;118.831942718 30.9738481790001),481.6585530049808
8446_8445,1,L#U,8445_8444#8445_8446,LINESTRING(118.832310203 30.971485773;118.831942718 30.9738481790001),264.2598651962099
5125_8446,0,U#L#S,8446_5125#8446_8447#8446_8445,LINESTRING(118.832736752 30.9687436720001;118.832310203 30.971485773),306.732759362806
8447_8446,0,R#U#L,8446_5125#8446_8447#8446_8445,LINESTRING(118.827256311 30.9708991970001;118.832310203 30.971485773),487.17342813090863
5189_8447,2,U#R#L#S,8447_5189#8447_8449#8447_8444#8447_8446,LINESTRING(118.822297084 30.9703255110001;118.827256311 30.9708991970001),478.02285295585324
8449_8447,0,L#U#S#R,8447_5189#8447_8449#8447_8444#8447_8446,LINESTRING(118.827610698 30.968178435;118.827256311 30.9708991970001),303.5420243062109
5045_8448,4,U#R#L#S,8448_5045#8448_5154#8448_5101#8448_8378,LINESTRING(118.834763177 30.955716658;118.833959752 30.960881532),577.7455522800391
5154_8448,3,L#U#S#R,8448_5045#8448_5154#8448_5101#8448_8378,LINESTRING(118.862574117 30.9644148990001;118.862369004 30.964484213;118.862024593 30.9646006;118.861630554 30.964739561;118.86146304 30.9647738260001;118.86122319 30.964802379;118.860985245 30.9648004750001;118.860669253 30.964777633;118.859999196 30.964691972;118.859635614 30.9646348650001;118.859418607 30.964587276;118.858670504 30.964415955;118.857924306 30.9642484410001;118.857619735 30.9641913340001;118.856736479 30.963995266;118.855727588 30.9637306700001;118.855065146 30.9635821910001;118.85474725 30.9635136630001;118.8545074 30.963471784;118.854324657 30.963447038;118.854111457 30.963429906;118.853605108 30.9633994490001;118.852462967 30.963332823;118.851690118 30.963290945;118.850679323 30.963239549;118.850243406 30.9631957670001;118.849895053 30.9631443700001;118.849017508 30.9630168310001;118.848143769 30.9628721600001;118.847290971 30.9627351030001;118.846188804 30.9625656850001;118.845008591 30.9623581970001;118.844576481 30.9622820540001;118.844054904 30.962160226;118.843368117 30.9620044750001;118.843173551 30.9619603510001;118.842585349 30.961867075;118.842147527 30.9618099690001;118.84167354 30.9617566690001;118.841047265 30.9617300190001;118.840072637 30.961686237;118.839000928 30.961672912;118.837065307 30.9612577070001;118.833959752 30.960881532),2785.5916284341465
5125_8449,0,U#L#S#R,8449_5125#8449_8459#8449_5113#8449_8447,LINESTRING(118.832736752 30.9687436720001;118.827610698 30.968178435),493.71438326457945
8459_8449,0,R#U#L#S,8449_5125#8449_8459#8449_5113#8449_8447,LINESTRING(118.827913891 30.9658506970001;118.827610698 30.968178435),259.69423980139607
5113_8450,0,U#L#S#R,8450_5113#8450_8455#8450_5140#8450_8451,LINESTRING(118.822727837 30.967640014;118.815314369 30.966879582),713.2597759273108
8455_8450,0,R#U#L#S,8450_5113#8450_8455#8450_5140#8450_8451,LINESTRING(118.815493717 30.9644540910001;118.815358362 30.9665806570001;118.815314369 30.966879582),269.53127690586206
8450_8451,0,U#L#R#S,8451_8450#8451_8452#8451_5189#8451_8442,LINESTRING(118.815314369 30.966879582;118.814934295 30.969462138),288.6184035120025
8452_8451,0,R#U#S#L,8451_8450#8451_8452#8451_5189#8451_8442,LINESTRING(118.810306792 30.968919509;118.814934295 30.969462138),446.1629305819942
5140_8452,3,U#S#R,8452_5140#8452_8441#8452_8451,LINESTRING(118.810452035 30.966380831;118.810306792 30.968919509),281.80229482286506
5076_8453,0,U#S#R,8453_5076#8453_8377#8453_8454,LINESTRING(118.810919857 30.9582039000001;118.810735859 30.961419956),356.99330612145127
8453_8454,0,U#R#L#S,8454_8453#8454_8457#8454_8455#8454_8456,LINESTRING(118.810735859 30.961419956;118.815647875 30.9620321190001),474.1879080884861
8457_8454,0,L#U#S#R,8454_8453#8454_8457#8454_8455#8454_8456,LINESTRING(118.815856213 30.9587589280001;118.815647875 30.9620321190001),363.440217354689
8377_8455,2,U#R#S#L,8455_8377#8455_8454#8455_8376#8455_8450,LINESTRING(118.810594559 30.9638896910001;118.815493717 30.9644540910001),472.2294891169363
8454_8455,2,L#U#R#S,8455_8377#8455_8454#8455_8376#8455_8450,LINESTRING(118.815647875 30.9620321190001;118.815493717 30.9644540910001),268.9248313703033
8376_8456,0,U#R#S,8456_8376#8456_8454#8456_5101,LINESTRING(118.823038772 30.9653233080001;118.823230205 30.96400248;118.823385509 30.9629964270001),260.09891176457796
8454_8456,0,L#U#R,8456_8376#8456_8454#8456_5101,LINESTRING(118.815647875 30.9620321190001;118.823385509 30.9629964270001),746.956650845121
8374_8457,0,U#S#R#L,8457_8374#8457_5076#8457_8454#8457_8458,LINESTRING(118.819778067 30.959199889;118.815856213 30.9587589280001),377.8898039904165
8372_8458,0,U#R#S,8458_8372#8458_8457#8458_8371,LINESTRING(118.820489567 30.9563309380001;118.816443396 30.955757475),391.7968019845814
8457_8458,0,L#U#R,8458_8372#8458_8457#8458_8371,LINESTRING(118.815856213 30.9587589280001;118.816443396 30.955757475),337.4635744528266
8376_8459,0,U#S#L,8459_8376#8459_8378#8459_8449,LINESTRING(118.823038772 30.9653233080001;118.827913891 30.9658506970001),469.4175942374661
9140_8460,0,U#U#S,8460_9140#8460_8461#8460_9139,LINESTRING(118.784156497 30.904456726;118.78332085 30.9058914280001),177.9963602149616
8460_8461,0,U#S#U,8461_8460#8461_9079#8461_9041,LINESTRING(118.78332085 30.9058914280001;118.782064721 30.9006808180001;118.780046664 30.8961224230001),1130.9935147643162
9079_8461,3,L#U#S,8461_8460#8461_9079#8461_9041,LINESTRING(118.773118483 30.894764944;118.773971223 30.8948124890001;118.775232338 30.894931462;118.77663622 30.8951932030001;118.777968718 30.8955025330001;118.778813427 30.8957285820001;118.779981982 30.8960958260001;118.780046664 30.8961224230001),682.5726724075993
4579_9001,2,U#S#R#L,9001_4579#9001_4526#9001_4563#9001_8356,LINESTRING(118.784692677 30.93368516;118.780509585 30.9315246090001;118.778407789 30.930601649),691.488631430716
9004_9003,0,U#L,9003_9004#9003_4718,LINESTRING(118.69378431 30.949290928;118.689453691 30.9476491),452.08027371380854
9005_9004,0,U#S#L,9004_9005#9004_9003#9004_9006,LINESTRING(118.696847001 30.950511566;118.69378431 30.949290928),322.4283123863855
9004_9006,2,U#L#R#S,9006_9004#9006_9007#9006_4718#9006_9008,LINESTRING(118.69378431 30.949290928;118.69458952 30.947560584;118.695407306 30.9461089370001),385.606103761181
9007_9006,4,R#U#S#L,9006_9004#9006_9007#9006_4718#9006_9008,LINESTRING(118.698804973 30.947292181;118.695407306 30.9461089370001),350.1732518445587
4895_9007,4,U#R#S#L,9007_4895#9007_9005#9007_9006#9007_9009,LINESTRING(118.70673769 30.9503193630001;118.698804973 30.947292181),828.9895370956228
9005_9007,2,L#U#R#S,9007_4895#9007_9005#9007_9006#9007_9009,LINESTRING(118.696847001 30.950511566;118.698804973 30.947292181),402.9917508215091
9006_9008,2,U#L#R#S,9008_9006#9008_9009#9008_4669#9008_9010,LINESTRING(118.695407306 30.9461089370001;118.697147837 30.9429146370001),391.25959846894574
9009_9008,2,R#U#S#L,9008_9006#9008_9009#9008_4669#9008_9010,LINESTRING(118.70059991 30.944109585;118.697147837 30.9429146370001),355.4905742159405
4802_9009,2,U#R#S#L,9009_4802#9009_9007#9009_9008#9009_9011,LINESTRING(118.70831375 30.946824792;118.702592044 30.9447991700001;118.70059991 30.944109585),796.2275069247788
9007_9009,2,L#U#R#S,9009_4802#9009_9007#9009_9008#9009_9011,LINESTRING(118.698804973 30.947292181;118.70059991 30.944109585),392.3295316607154
9008_9010,2,U#R#L#S,9010_9008#9010_9013#9010_9011#9010_9012,LINESTRING(118.697147837 30.9429146370001;118.698011581 30.941226409;118.698594549 30.9393359270001),421.4356214668342
9013_9010,3,L#U#S#R,9010_9008#9010_9013#9010_9011#9010_9012,LINESTRING(118.694920661 30.9381937860001;118.695624982 30.938327036;118.698594549 30.9393359270001),373.9463867562959
9009_9011,2,U#R#S#L,9011_9009#9011_9010#9011_4609#9011_4668,LINESTRING(118.70059991 30.944109585;118.702657584 30.9406122730001),434.7514278579813
9010_9011,2,L#U#R#S,9011_9009#9011_9010#9011_4609#9011_4668,LINESTRING(118.698594549 30.9393359270001;118.702657584 30.9406122730001),413.2619634169956
9010_9012,0,U,9012_9010,LINESTRING(118.698594549 30.9393359270001;118.699409515 30.936824406),289.1353013220292
4669_9013,0,U#S,9013_4669#9013_9010,LINESTRING(118.692750593 30.9414108170001;118.694254412 30.938479321;118.694920661 30.9381937860001),426.4716380391368
