cid,nlane,turn,dnroad,geom,len
5298_9056,0,S#U,9056_9057#9056_5298,LINESTRING(118.664141232 30.997623462;118.663969109 30.9979224950001;118.663526503 30.9985926910001;118.663029604 30.999326812;118.662594032 31.000004072;118.662299847 31.0005291950001;118.662040479 31.000985868;118.661765694 31.001511932;118.661451971 31.0021088830001;118.661091561 31.00280903;118.660720647 31.003542716;118.66034514 31.004251407;118.660009598 31.004948846;118.65962447 31.0057423600001;118.659358545 31.0063017090001;118.659053763 31.0069367150001;118.65884723 31.007407019;118.658504432 31.008166583;118.658228181 31.008770203;118.657934586 31.0094122200001;118.657595247 31.010132368;118.657261485 31.0107749000001;118.657260102 31.0107779090001),1601.5283832333266
5339_8368,0,R#L#U,8368_5429#8368_5247#8368_5339,LINESTRING(118.739618251 31.003678581;118.737461897 31.0031266130001;118.73606087 31.0022129000001;118.734151368 30.9995350410001),731.0856542448589
5339_9015,0,L#R#U#S,9015_4525#9015_9055#9015_5339#9015_9074,LINESTRING(118.739618251 31.003678581;118.738580806 31.0036309910001;118.736315559 31.003421599;118.733555384 31.003059921;118.730186068 31.0024507790001;118.724894146 31.001327673;118.717489264 30.9997477110001;118.713072984 30.9988339980001;118.710122452 30.9983200340001;118.70686735 30.997882213;118.703840675 30.997596678;118.698263219 30.997482464;118.695560151 30.9973682500001;118.693275868 30.9971778930001;118.690211123 30.996835251;118.687241555 30.996340323;118.683377311 30.9954456450001;118.679570173 30.9943796470001;118.677190712 30.993732434;118.67477318 30.9932565410001;118.672812504 30.9928948630001;118.670280757 30.9924951140001;118.666416513 30.992000186;118.663337259 30.9916854780001),7428.857261646108
5429_9032,3,S#L#U#R,9032_9031#9032_9067#9032_5429#9032_9035,LINESTRING(118.723288395 31.0141975340001;118.723017137 31.014668667;118.72242703 31.0157632190001;118.721832165 31.0168672890001;118.721275371 31.017909096;118.720885615 31.018631263),542.4933514906851
5448_8441,3,S#U#L,8441_8452#8441_5448#8441_8442,LINESTRING(118.794366568 31.0190767390001;118.794805598 31.0182045390001;118.796568908 31.0147371730001;118.798435932 31.0110464530001;118.799272132 31.0095531640001;118.800326731 31.0081856630001;118.801295433 31.0071128160001;118.802784887 31.00545292;118.803637232 31.004381682;118.804137196 31.0035730380001;118.804761843 31.002326033;118.805111044 31.001455075;118.805677135 30.9993070200001;118.80624492 30.9959278220001;118.806952472 30.992031314;118.80763627 30.9881995530001;118.808154574 30.985286285;118.808746248 30.983180804;118.809229725 30.9815062960001;118.809812575 30.9789356850001;118.809937012 30.97804639;118.810046849 30.974623486;118.810161548 30.9714581870001;118.810183116 30.9710812060001),5629.1985027197
8345_9155,3,S#R#U,9155_5190#9155_9156#9155_8345,LINESTRING(118.72985213 30.9696186910001;118.732534699 30.970749207;118.733361229 30.9709843030001),368.43685695579825
8346_9159,4,S#U#R,9159_9157#9159_8346#9159_9160,LINESTRING(118.719690803 30.963426715;118.72014189 30.9640436760001;118.720804734 30.964910532;118.721370364 30.965502348;118.722273005 30.9662089070001;118.723249914 30.9667813660001;118.724463493 30.967314286),640.4448079932631
8347_5105,3,R#S#U,5105_4895#5105_8348#5105_8347,LINESTRING(118.694536983 30.9595672400001;118.695590489 30.959746889;118.697059806 30.9600978600001;118.699153732 30.9606094440001;118.700652792 30.960972312;118.702770513 30.9614898450001;118.703461746 30.9616635450001),884.104637961986
8347_9112,3,L#S#U,9112_9002#9112_9111#9112_8347,LINESTRING(118.694536983 30.9595672400001;118.677699007 30.9547621930001),1694.7248479379568
8348_5055,5,S#L#R#U,5055_4920#5055_8346#5055_4972#5055_8348,LINESTRING(118.710282471 30.9609497070001;118.71231691 30.9598932260001;118.714044399 30.9589081290001;118.715273728 30.9582214010001;118.717041945 30.9573654800001),758.6045046958495
8348_8346,2,L#R#U,8346_9159#8346_5055#8346_8348,LINESTRING(118.710282471 30.9609497070001;118.711130996 30.9623520910001;118.71177345 30.963113519;118.712820413 30.963874946;118.714057733 30.9644460170001;118.716008891 30.96487432;118.717127237 30.9647791410001;118.718126611 30.96456499;118.719030806 30.9640177140001;118.719674 30.9634390000001),1137.2392602169487
8349_9098,0,L#U#R#S,9098_9002#9098_8349#9098_9099#9098_9108,LINESTRING(118.672871078 30.947252436;118.672840621 30.94531841;118.672931992 30.945150896;118.673297477 30.9446635830001;118.673632505 30.944389469;118.673684807 30.9436167980001),429.25079420482933
8350_4713,0,S#L#R#U,4713_4674#4713_4794#4713_4666#4713_8350,LINESTRING(118.714277384 30.948825755;118.716935851 30.943971881),595.0894563632921
8350_4899,0,L#R#U,4899_4972#4899_4794#4899_8350,LINESTRING(118.714277384 30.948825755;118.714928814 30.9490297020001;118.715807487 30.9493240250001;118.71628913 30.949485355;118.717768868 30.949943976;118.718842415 30.9503003290001),465.8700335383541
8351_9156,2,L#S#U#R,9156_5100#9156_9158#9156_8351#9156_9155,LINESTRING(118.738263673 30.967216627;118.734470647 30.9667945850001),365.38327216629403
8352_5082,1,R#L#U#S,5082_5021#5082_5123#5082_8352#5082_9162,LINESTRING(118.739394924 30.9599127320001;118.740455996 30.959926652;118.741112727 30.95993617;118.741645727 30.959422207;118.74207403 30.95918426;118.742492815 30.9591747430001;118.743470393 30.959165252),422.6927824138495
8352_5122,4,L#R#S#U,5122_5100#5122_5123#5122_9174#5122_8352,LINESTRING(118.739394924 30.9599127320001;118.739857954 30.963158288),362.5401770076929
8353_4879,0,S#L#R#U,4879_4893#4879_4938#4879_4819#4879_8353,LINESTRING(118.734085338 30.9510762950001;118.734953365 30.950802181;118.737443233 30.9495382110001;118.73797604 30.949325426),420.56690603134325
8354_4808,1,R#S#L#U,4808_4694#4808_4806#4808_4893#4808_8354,LINESTRING(118.741740909 30.946750825;118.747392293 30.9464083500001),541.3650852752743
8355_4706,0,L#R#S#U,4706_4697#4706_4724#4706_4835#4706_8355,LINESTRING(118.757401014 30.9394255890001;118.756972711 30.9393589640001;118.756696694 30.9399205170001;118.756249355 30.9408723020001;118.755916231 30.941786015;118.755592624 30.942328532;118.755506963 30.9426045490001;118.755423267 30.9431676560001),491.4978306897493
8356_9001,2,R#L#S#U,9001_4579#9001_4526#9001_4563#9001_8356,LINESTRING(118.781207953 30.9288145020001;118.778407789 30.930601649),332.9879668199656
8357_4579,2,S#U#L,4579_4615#4579_8357#4579_9001,LINESTRING(118.785502404 30.9330632670001;118.784687132 30.933682296),103.83198943562411
8358_4415,3,R#U#L#S,4415_4497#4415_8358#4415_9042#4415_9136,LINESTRING(118.777044567 30.9209715330001;118.776663853 30.920925848;118.776313597 30.9208420910001;118.776001411 30.9206593480001;118.775217141 30.9200349770001;118.774691756 30.91948675;118.774448099 30.919075579;118.774242396 30.918458667),410.7861947049012
8359_5026,0,L#S#R#U,5026_5052#5026_4942#5026_5017#5026_8359,LINESTRING(118.742769182 30.971857555;118.752765258 30.972177372;118.781673561 30.973342668;118.782615442 30.9646639760001;118.783753776 30.955199432),5741.615050404948
8359_9176,2,S#R#U,9176_5126#9176_9175#9176_8359,LINESTRING(118.742769182 30.971857555;118.743144917 30.9714111920001;118.743626537 30.9708309260001;118.744054916 30.9702196010001;118.744451893 30.9696059180001;118.745135095 30.9685013760001),436.0644475131238
8360_9166,0,L#S#U,9166_5005#9166_9165#9166_8360,LINESTRING(118.778238535 30.9564357610001;118.772721947 30.956654724),527.6551667428586
8361_5217,2,L#R#U,5217_5193#5217_5247#5217_8361,LINESTRING(118.744257856 30.978652977;118.743820036 30.97859587;118.742701689 30.97859587;118.741298679 30.97866721),283.3867701290566
8362_4616,2,R#S#L#U,4616_4630#4616_4539#4616_4605#4616_8362,LINESTRING(118.734921524 30.938473501;118.734355722 30.9370194320001),170.03674539390792
8363_4758,3,L#S#R#U,4758_4745#4758_4832#4758_4779#4758_8363,LINESTRING(118.779591893 30.9422432430001;118.780138172 30.9433397290001;118.780151072 30.944602473),272.30434631909986
8363_8365,3,R#S#U,8365_4832#8365_4917#8365_8363,LINESTRING(118.779591893 30.9422432430001;118.777133981 30.9444102780001;118.777091542 30.9444476940001;118.774852946 30.946473091),651.930625174462
8364_4615,4,S#L#R#U,4615_4563#4615_4579#4615_4663#4615_8364,LINESTRING(118.785463947 30.940945325;118.785298854 30.940336652;118.785185566 30.9400633180001;118.784886432 30.9394695340001;118.784517907 30.938877538;118.784155697 30.938361484;118.783733595 30.937871795;118.783308576 30.937393768;118.782422947 30.936588123;118.781939901 30.9362255030001;118.781728318 30.936102728),657.6599022005961
8364_8363,3,R#S#U,8363_4758#8363_8365#8363_8364,LINESTRING(118.785463947 30.940945325;118.781812393 30.941082185;118.780441824 30.9415390410001;118.779665167 30.9421786400001;118.779591893 30.9422432430001),602.3771141951474
8365_4832,4,L#R#S#U,4832_4918#4832_4758#4832_4852#4832_8365,LINESTRING(118.774852946 30.946473091;118.779618277 30.9471851870001),462.1550305600301
8365_4917,5,S#R#U,4917_5005#4917_4918#4917_8365,LINESTRING(118.774852946 30.946473091;118.773475142 30.9496605640001),377.1187828682359
8368_5429,0,S#U#R#L,5429_9032#5429_8368#5429_9036#5429_9143,LINESTRING(118.734151368 30.9995350410001;118.731449054 31.000781492;118.730467526 31.0015548160001;118.729158822 31.003369155;118.726690132 31.0070573200001;118.725411171 31.010061389;118.723288395 31.0141975340001),1984.735491326875
8369_9079,0,L#U#R#S,9079_9078#9079_8369#9079_8461#9079_9045,LINESTRING(118.758840981 30.866306352;118.759521507 30.868847616;118.760869233 30.873827352;118.761725839 30.877071033;118.762268356 30.87920303;118.763258212 30.882810293;118.763676997 30.8843807380001;118.763933979 30.885104094;118.764209997 30.8857037180001;118.764571675 30.8862271990001;118.764961906 30.8866364670001;118.76609453 30.8877690900001;118.768454955 30.8901295150001;118.773118483 30.894764944),3530.043801208618
8370_4881,0,L#S#U,4881_4732#4881_4863#4881_8370,LINESTRING(118.770237781 30.9477500780001;118.769711921 30.948197416;118.769338345 30.948516264;118.769133712 30.9486423750001;118.769057569 30.948661411;118.768955252 30.948697103;118.768845797 30.9487875230001;118.768622127 30.948954085;118.768545808 30.949004964;118.768430494 30.9490164010001;118.767798749 30.948992624),286.4709091906016
8371_4986,5,S#L#R#U,4986_4943#4986_8375#4986_4947#4986_8371,LINESTRING(118.813356519 30.955319972;118.815666852 30.952585562),375.01725932972874
8371_8458,0,S#L#U,8458_8372#8458_8457#8458_8371,LINESTRING(118.813356519 30.955319972;118.816443396 30.955757475),298.9084679490721
8372_8373,2,L#R#U,8373_5101#8373_5020#8373_8372,LINESTRING(118.820489567 30.9563309380001;118.824402567 30.9568855270001),378.8994930787965
8372_8375,0,L#R#U,8375_5020#8375_4986#8375_8372,LINESTRING(118.820489567 30.9563309380001;118.821192511 30.953496484),321.34977652124564
8373_5101,3,R#S#U#L,5101_8448#5101_8456#5101_8373#5101_8374,LINESTRING(118.824402567 30.9568855270001;118.82419548 30.9581983080001;118.823939981 30.959667842),311.629260834482
8374_5101,4,S#L#R#U,5101_8448#5101_8456#5101_8373#5101_8374,LINESTRING(118.819778067 30.959199889;118.823939981 30.959667842),401.0188977914068
8374_8372,0,L#S#U#R,8372_8373#8372_8375#8372_8374#8372_8458,LINESTRING(118.819776256 30.95920719;118.820489567 30.9563309380001),326.08826596182655
8375_5020,0,S#L#U,5020_5045#5020_8373#5020_8375,LINESTRING(118.82119972 30.9534514320001;118.822897743 30.953723128;118.824786205 30.954044792),348.95278025491746
8376_5113,3,S#R#U#L,5113_5189#5113_8449#5113_8376#5113_8450,LINESTRING(118.823038772 30.9653233080001;118.822943819 30.9659784560001;118.822727837 30.967640014),258.5669673371691
8376_8455,0,S#L#U#R,8455_8377#8455_8454#8455_8376#8455_8450,LINESTRING(118.823038772 30.9653233080001;118.815493717 30.9644540910001),727.2619831006746
8377_8453,0,S#U#L,8453_5076#8453_8377#8453_8454,LINESTRING(118.810594559 30.9638896910001;118.810735859 30.961419956),274.1492058318061
8378_8448,4,S#L#R#U,8448_5045#8448_5154#8448_5101#8448_8378,LINESTRING(118.833099507 30.9664116750001;118.833959752 30.960881532),618.6046364782954
8378_8459,0,S#U#R,8459_8376#8459_8378#8459_8449,LINESTRING(118.833099507 30.9664116750001;118.827913891 30.9658506970001),499.312071760378
8379_4947,2,R#L#U,4947_4929#4947_4986#4947_8379,LINESTRING(118.806963175 30.953116397;118.806991272 30.9530347620001;118.807414935 30.9518037280001;118.807508614 30.9514710990001),189.74956820224713
8379_8371,0,R#S#L#U,8371_4986#8371_8458#8371_5076#8371_8379,LINESTRING(118.806963175 30.953116397;118.808786858 30.9536255460001;118.809581598 30.9538872860001;118.813356519 30.955319972),658.580233393129
8441_8452,3,S#U#L,8452_5140#8452_8441#8452_8451,LINESTRING(118.810183116 30.9710812060001;118.810306792 30.968919509),239.95613886356142
8442_8441,3,L#R#U,8441_8452#8441_5448#8441_8442,LINESTRING(118.814613495 30.9716445770001;118.810183116 30.9710812060001),427.8304233153405
8442_8451,0,S#R#L#U,8451_8450#8451_8452#8451_5189#8451_8442,LINESTRING(118.81461597 30.9716251140001;118.814934295 30.969462138),241.7274498195836
8443_5189,0,R#S#U#L,5189_8451#5189_5113#5189_8443#5189_8447,LINESTRING(118.821925027 30.972574319;118.822297084 30.9703255110001),251.84384860841095
8443_8442,3,S#L#U,8442_8441#8442_8451#8442_8443,LINESTRING(118.821925027 30.972574319;118.814613495 30.9716445770001),706.0506752970934
8444_8443,3,L#S#U,8443_5189#8443_8442#8443_8444,LINESTRING(118.826954814 30.9732139120001;118.821925027 30.972574319),485.7061553038922
8444_8447,0,R#S#U#L,8447_5189#8447_8449#8447_8444#8447_8446,LINESTRING(118.826954814 30.9732139120001;118.827256311 30.9708991970001),258.24136129343606
8445_8444,3,S#L#U,8444_8443#8444_8447#8444_8445,LINESTRING(118.831942718 30.9738481790001;118.826954814 30.9732139120001),481.6585530049808
8445_8446,0,S#R#U,8446_5125#8446_8447#8446_8445,LINESTRING(118.831942718 30.9738481790001;118.832310203 30.971485773),264.2598651962099
8446_5125,0,S#U#R,5125_8378#5125_8446#5125_8449,LINESTRING(118.832310203 30.971485773;118.832736752 30.9687436720001),306.732759362806
8446_8447,2,S#L#R#U,8447_5189#8447_8449#8447_8444#8447_8446,LINESTRING(118.832310203 30.971485773;118.827256311 30.9708991970001),487.17342813090863
8447_5189,0,S#L#R#U,5189_8451#5189_5113#5189_8443#5189_8447,LINESTRING(118.827256311 30.9708991970001;118.822297084 30.9703255110001),478.02285295585324
8447_8449,0,L#S#R#U,8449_5125#8449_8459#8449_5113#8449_8447,LINESTRING(118.827256311 30.9708991970001;118.827610698 30.968178435),303.5420243062109
8448_5045,0,R#U,5045_5020#5045_8448,LINESTRING(118.833959752 30.960881532;118.834763177 30.955716658),577.7455522800391
8448_5154,0,S#S#U,5154_4628#5154_5135#5154_8448,LINESTRING(118.833959752 30.960881532;118.837065307 30.9612577070001;118.839000928 30.961672912;118.840072637 30.961686237;118.841047265 30.9617300190001;118.84167354 30.9617566690001;118.842147527 30.9618099690001;118.842585349 30.961867075;118.843173551 30.9619603510001;118.843368117 30.9620044750001;118.844054904 30.962160226;118.844576481 30.9622820540001;118.845008591 30.9623581970001;118.846188804 30.9625656850001;118.847290971 30.9627351030001;118.848143769 30.9628721600001;118.849017508 30.9630168310001;118.849895053 30.9631443700001;118.850243406 30.9631957670001;118.850679323 30.963239549;118.851690118 30.963290945;118.852462967 30.963332823;118.853605108 30.9633994490001;118.854111457 30.963429906;118.854324657 30.963447038;118.8545074 30.963471784;118.85474725 30.9635136630001;118.855065146 30.9635821910001;118.855727588 30.9637306700001;118.856736479 30.963995266;118.857619735 30.9641913340001;118.857924306 30.9642484410001;118.858670504 30.964415955;118.859418607 30.964587276;118.859635614 30.9646348650001;118.859999196 30.964691972;118.860669253 30.964777633;118.860985245 30.9648004750001;118.86122319 30.964802379;118.86146304 30.9647738260001;118.861630554 30.964739561;118.862024593 30.9646006;118.862369004 30.964484213;118.862574117 30.9644148990001),2785.5916284341465
8449_5125,0,R#L#U,5125_8378#5125_8446#5125_8449,LINESTRING(118.827610698 30.968178435;118.832736752 30.9687436720001),493.71438326457945
8449_8459,0,R#L#U,8459_8376#8459_8378#8459_8449,LINESTRING(118.827610698 30.968178435;118.827913891 30.9658506970001),259.69423980139607
8450_5113,0,L#S#R#U,5113_5189#5113_8449#5113_8376#5113_8450,LINESTRING(118.815314369 30.966879582;118.822727837 30.967640014),713.2597759273108
8450_8455,2,R#S#L#U,8455_8377#8455_8454#8455_8376#8455_8450,LINESTRING(118.815314369 30.966879582;118.815358362 30.9665806570001;118.815493717 30.9644540910001),269.53127690586206
8451_8450,0,L#S#R#U,8450_5113#8450_8455#8450_5140#8450_8451,LINESTRING(118.814934295 30.969462138;118.815314369 30.966879582),288.6184035120025
8451_8452,2,L#R#U,8452_5140#8452_8441#8452_8451,LINESTRING(118.814934295 30.969462138;118.810306792 30.968919509),446.1629305819942
8452_5140,3,S#L#U,5140_8377#5140_8450#5140_8452,LINESTRING(118.810306792 30.968919509;118.810452035 30.966380831),281.80229482286506
8453_5076,4,S#L#R#U,5076_8371#5076_8457#5076_5066#5076_8453,LINESTRING(118.810735859 30.961419956;118.810919857 30.9582039000001),356.99330612145127
8454_8453,0,L#R#U,8453_5076#8453_8377#8453_8454,LINESTRING(118.815647875 30.9620321190001;118.810735859 30.961419956),474.1879080884861
8454_8457,0,L#R#U#S,8457_8374#8457_5076#8457_8454#8457_8458,LINESTRING(118.815647875 30.9620321190001;118.815856213 30.9587589280001),363.440217354689
8455_8377,0,L#R#U,8377_8453#8377_5140#8377_8455,LINESTRING(118.815493717 30.9644540910001;118.810594559 30.9638896910001),472.2294891169363
8455_8454,0,R#S#U#L,8454_8453#8454_8457#8454_8455#8454_8456,LINESTRING(118.815493717 30.9644540910001;118.815647875 30.9620321190001),268.9248313703033
8456_8376,0,S#L#U#R,8376_5113#8376_8455#8376_8456#8376_8459,LINESTRING(118.823385509 30.9629964270001;118.823230205 30.96400248;118.823038772 30.9653233080001),260.09891176457796
8456_8454,0,S#L#R#U,8454_8453#8454_8457#8454_8455#8454_8456,LINESTRING(118.823385509 30.9629964270001;118.815647875 30.9620321190001),746.956650845121
8457_8374,0,S#R#U,8374_5101#8374_8372#8374_8457,LINESTRING(118.815856213 30.9587589280001;118.819778067 30.959199889),377.8898039904165
8458_8372,2,S#R#L#U,8372_8373#8372_8375#8372_8374#8372_8458,LINESTRING(118.816443396 30.955757475;118.820489567 30.9563309380001),391.7968019845814
8458_8457,0,R#L#S#U,8457_8374#8457_5076#8457_8454#8457_8458,LINESTRING(118.816443396 30.955757475;118.815856213 30.9587589280001),337.4635744528266
8459_8376,0,R#S#L#U,8376_5113#8376_8455#8376_8456#8376_8459,LINESTRING(118.827913891 30.9658506970001;118.823038772 30.9653233080001),469.4175942374661
8460_9140,0,L#U,9140_9040#9140_8460,LINESTRING(118.78332085 30.9058914280001;118.784156497 30.904456726),177.9963602149616
8461_8460,0,U#U#S,8460_9140#8460_8461#8460_9139,LINESTRING(118.780046664 30.8961224230001;118.782064721 30.9006808180001;118.78332085 30.9058914280001),1130.9935147643162
8461_9079,4,S#L#U#R,9079_9078#9079_8369#9079_8461#9079_9045,LINESTRING(118.780046664 30.8961224230001;118.779981982 30.8960958260001;118.778813427 30.8957285820001;118.777968718 30.8955025330001;118.77663622 30.8951932030001;118.775232338 30.894931462;118.773971223 30.8948124890001;118.773118483 30.894764944),682.5726724075993
9001_4579,2,L#R#U,4579_4615#4579_8357#4579_9001,LINESTRING(118.778407789 30.930601649;118.780509585 30.9315246090001;118.784692677 30.93368516),691.488631430716
9003_9004,0,S#U#R,9004_9005#9004_9003#9004_9006,LINESTRING(118.689453691 30.9476491;118.69378431 30.949290928),452.08027371380854
9004_9005,0,U#R,9005_9004#9005_9007,LINESTRING(118.69378431 30.949290928;118.696847001 30.950511566),322.4283123863855
9006_9004,0,R#L#U,9004_9005#9004_9003#9004_9006,LINESTRING(118.695407306 30.9461089370001;118.69458952 30.947560584;118.69378431 30.949290928),385.606103761181
9006_9007,4,S#L#U#R,9007_4895#9007_9005#9007_9006#9007_9009,LINESTRING(118.695407306 30.9461089370001;118.698804973 30.947292181),350.1732518445587
9007_4895,4,R#S#L#U,4895_4802#4895_4972#4895_5105#4895_9007,LINESTRING(118.698804973 30.947292181;118.70673769 30.9503193630001),828.9895370956228
9007_9005,0,L#U,9005_9004#9005_9007,LINESTRING(118.698804973 30.947292181;118.696847001 30.950511566),402.9917508215091
9008_9006,2,S#R#L#U,9006_9004#9006_9007#9006_4718#9006_9008,LINESTRING(118.697147837 30.9429146370001;118.695407306 30.9461089370001),391.25959846894574
9008_9009,2,S#L#U#R,9009_4802#9009_9007#9009_9008#9009_9011,LINESTRING(118.697147837 30.9429146370001;118.70059991 30.944109585),355.4905742159405
9009_4802,2,R#S#L#U,4802_4645#4802_8350#4802_4895#4802_9009,LINESTRING(118.70059991 30.944109585;118.702592044 30.9447991700001;118.70831375 30.946824792),796.2275069247788
9009_9007,2,R#S#L#U,9007_4895#9007_9005#9007_9006#9007_9009,LINESTRING(118.70059991 30.944109585;118.698804973 30.947292181),392.3295316607154
9010_9008,2,S#R#L#U,9008_9006#9008_9009#9008_4669#9008_9010,LINESTRING(118.698594549 30.9393359270001;118.698011581 30.941226409;118.697147837 30.9429146370001),421.4356214668342
9010_9013,0,S#U,9013_4669#9013_9010,LINESTRING(118.698594549 30.9393359270001;118.695624982 30.938327036;118.694920661 30.9381937860001),373.9463867562959
9011_9009,2,R#S#L#U,9009_4802#9009_9007#9009_9008#9009_9011,LINESTRING(118.702657584 30.9406122730001;118.70059991 30.944109585),434.7514278579813
9011_9010,3,R#S#U#L,9010_9008#9010_9013#9010_9011#9010_9012,LINESTRING(118.702657584 30.9406122730001;118.698594549 30.9393359270001),413.2619634169956
9012_9010,2,S#L#R#U,9010_9008#9010_9013#9010_9011#9010_9012,LINESTRING(118.699409515 30.936824406;118.698594549 30.9393359270001),289.1353013220292
9013_4669,0,S#R#U,4669_4718#4669_9008#4669_9013,LINESTRING(118.694920661 30.9381937860001;118.694254412 30.938479321;118.692750593 30.9414108170001),426.4716380391368
9015_4525,0,U#S#U,4525_9050#4525_9171#4525_9015,LINESTRING(118.663337259 30.9916854780001;118.669296915 30.982465061;118.669676533 30.98184171;118.669896474 30.981495287;118.670229556 30.980967021;118.670587003 30.980406944;118.670786041 30.980100873;118.671153 30.9795149030001;118.671591274 30.9788263670001;118.672058618 30.9780902110001;118.672473823 30.977413423;118.672785957 30.9769240750001;118.673132022 30.976379885;118.673643093 30.9755801680001;118.674042367 30.9749436650001;118.674417542 30.974354717;118.674875102 30.973631563;118.675382649 30.972821863;118.675917899 30.9719817380001;118.676367383 30.9712729990001;118.676604552 30.970896263;118.676659971 30.970808232;118.676968741 30.970318917;118.677363138 30.9696910590001;118.677761052 30.9690746050001;118.678138879 30.9684498230001;118.678462557 30.96795888;118.678861342 30.9672980330001;118.679245474 30.966654555;118.679489034 30.966237662;118.679850029 30.96560164;118.680239989 30.964912273;118.68063732 30.9641698400001;118.681026717 30.963448983;118.681407628 30.9627182130001;118.681584777 30.962388871;118.681822139 30.961903815;118.682028441 30.9614792900001;118.682254171 30.9610258800001;118.682448809 30.960631092;118.68260563 30.960290242;118.682823169 30.9598121230001;118.683068322 30.959266837;118.68324767 30.9588846550001;118.683469145 30.958378806;118.683675216 30.9579418750001;118.683878887 30.9574944760001;118.684093309 30.957028802;118.684237303 30.9567148410001;118.684351957 30.956468278;118.684450732 30.956255861;118.684685835 30.955706886;118.684903571 30.955241169;118.685077521 30.9548676430001;118.685256201 30.954448245;118.685517934 30.9539027390001;118.685770907 30.9533630720001;118.686025489 30.9527890260001;118.686245259 30.9523137360001;118.686473449 30.9518135220001;118.68672497 30.9512547850001;118.686940423 30.9507862310001;118.687147117 30.9503235180001;118.687381084 30.9498375420001;118.687590023 30.9493767070001;118.687799849 30.9489034540001;118.687969381 30.9485318910001;118.688179321 30.9480653150001;118.688420658 30.947558245;118.688631801 30.947097381;118.688807534 30.9467009210001;118.689011075 30.9462487440001;118.689220368 30.945808899;118.689444402 30.945325913;118.689656475 30.9448554900001;118.689859153 30.9444176390001;118.690174237 30.943760717;118.690255247 30.943582141;118.690440493 30.943160741;118.69059545 30.942842812;118.690860394 30.94229439;118.691094125 30.941859949;118.69132408 30.941399787;118.691619325 30.9408748270001;118.691933888 30.940315255;118.692234864 30.939801672;118.692586719 30.9392225220001;118.692839826 30.938820273;118.693122281 30.9383870980001;118.693481172 30.9378307600001;118.693790053 30.937389603;118.694107534 30.9369340160001;118.694403731 30.9365273810001;118.694722768 30.936097542;118.695083962 30.9356098850001;118.695359137 30.9352552760001;118.69553701 30.935026056;118.695633898 30.9349011960001;118.695931881 30.934533666;118.69630697 30.934081136;118.696707025 30.9336006;118.69674213 30.9335603000001;118.69707706 30.9331758100001;118.69725218 30.932984692;118.697493076 30.9327217860001;118.697811306 30.9323730720001;118.698071147 30.9321033850001;118.698290004 30.931884573;118.698507397 30.9316672250001;118.698885941 30.9312862210001;118.69893496 30.9312372540001),7539.253870364584
9015_9055,0,U,9055_9015,LINESTRING(118.663337259 30.9916854780001;118.662951039 30.9922201380001;118.66242355 30.9929455860001;118.661919882 30.9936077340001;118.661354288 30.9943408240001;118.660699044 30.995175277;118.660183053 30.995798925;118.65960687 30.9964977870001;118.658964988 30.997241869;118.658604514 30.997634459;118.658102832 30.998222126;118.657708449 30.9986724120001;118.657325744 30.9991254110001;118.656687397 30.9998837540001;118.655991031 31.0007473430001;118.655678718 31.0011393070001;118.6552449 31.0017132080001;118.655093639 31.001904117;118.654588534 31.0025848670001;118.654314155 31.002960595;118.653992598 31.003395621;118.653888703 31.003538679;118.653562579 31.003998101;118.653319885 31.0043805780001;118.652896724 31.004995852;118.652682972 31.0053221260001;118.652394881 31.005771037;118.652130897 31.0061723950001;118.651867133 31.0065866360001;118.651635564 31.0069403360001;118.651532155 31.0071120170001;118.651232915 31.0075897;118.650890164 31.008146675;118.65061572 31.00861688;118.650386346 31.009002046;118.650084413 31.009516981;118.649802713 31.0100488360001;118.649565615 31.0104684570001;118.649376165 31.010809565;118.649320577 31.0109096520001;118.649166227 31.0112122580001;118.648887816 31.0117426370001;118.648744382 31.012003586;118.648453756 31.0125971100001;118.64814214 31.0132266910001;118.647863092 31.013817203;118.647560344 31.0144795960001;118.647290114 31.015100058;118.647061561 31.0156312280001;118.646835037 31.016183847;118.646667365 31.0165825350001;118.646449269 31.017142203;118.646240378 31.0176573750001;118.646148224 31.0179047820001;118.645968481 31.0183752020001;118.645816177 31.01879803;118.645628836 31.019310062;118.645549531 31.019531537;118.645415085 31.0199298000001;118.645298428 31.020299204;118.645233659 31.020496157;118.645098091 31.0209259280001;118.644971534 31.0212997520001;118.64483792 31.0217466780001;118.644707629 31.0221935610001;118.644547161 31.0227224280001;118.644479608 31.0229509110001;118.644361823 31.023351823;118.644222173 31.0238448700001;118.644172184 31.024021357;118.643990583 31.024675041;118.643768619 31.025495302;118.643506748 31.026411986;118.643375274 31.0268875140001;118.643179738 31.027601501;118.642990526 31.0282967950001;118.642820953 31.0288773130001;118.642624842 31.02955838;118.642466703 31.0301272990001;118.642300989 31.0307392620001;118.642127404 31.031377094;118.641904158 31.032124358;118.641716469 31.032812473;118.641542681 31.0334388530001;118.64131998 31.0341861100001;118.641128106 31.0347922010001;118.640923033 31.0354366340001;118.640759499 31.0359182930001;118.640645409 31.0362132180001;118.640522967 31.0365058630001;118.640439542 31.036650083;118.640376448 31.0367815160001;118.640235146 31.0371494620001),5563.346401538723
